                 lexeme	                 lineno	              tokenName	          valueIfNumber	       parentNodeSymbol	             isLeafNode	             NodeSymbol	                 ruleNo	

                   ----	                   ----	                   ----	                   ----	                   stmt	                     no	                 ioStmt	                     50
                   ----	                   ----	                   ----	                   ----	             otherStmts	                     no	                   stmt	                     35
                  write	                     49	               TK_WRITE	                   ----	                 ioStmt	                    yes	                   ----	                      0
                      (	                     49	                  TK_OP	                   ----	                 ioStmt	                    yes	                   ----	                      0
                     d4	                     49	                  TK_ID	                   ----	                 allVar	                    yes	                   ----	                      0
                      .	                     49	                 TK_DOT	                   ----	              newallvar	                    yes	                   ----	                      0
                physics	                     49	             TK_FIELDID	                   ----	              newallvar	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                 allVar	                     no	              newallvar	                     54
                   ----	                   ----	                   ----	                   ----	                 ioStmt	                     no	                 allVar	                     51
                      )	                     49	                  TK_CL	                   ----	                 ioStmt	                    yes	                   ----	                      0
                      ;	                     49	                 TK_SEM	                   ----	                 ioStmt	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                   stmt	                     no	                 ioStmt	                     50
                   ----	                   ----	                   ----	                   ----	             otherStmts	                     no	                   stmt	                     35
                  write	                     50	               TK_WRITE	                   ----	                 ioStmt	                    yes	                   ----	                      0
                      (	                     50	                  TK_OP	                   ----	                 ioStmt	                    yes	                   ----	                      0
                     d4	                     50	                  TK_ID	                   ----	                 allVar	                    yes	                   ----	                      0
                      .	                     50	                 TK_DOT	                   ----	              newallvar	                    yes	                   ----	                      0
              chemistry	                     50	             TK_FIELDID	                   ----	              newallvar	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                 allVar	                     no	              newallvar	                     54
                   ----	                   ----	                   ----	                   ----	                 ioStmt	                     no	                 allVar	                     51
                      )	                     50	                  TK_CL	                   ----	                 ioStmt	                    yes	                   ----	                      0
                      ;	                     50	                 TK_SEM	                   ----	                 ioStmt	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                   stmt	                     no	                 ioStmt	                     50
                   ----	                   ----	                   ----	                   ----	             otherStmts	                     no	                   stmt	                     35
                    eps	                      0	                    eps	                   ----	             otherStmts	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	             otherStmts	                     no	             otherStmts	                     31
                   ----	                   ----	                   ----	                   ----	             otherStmts	                     no	             otherStmts	                     30
                   ----	                   ----	                   ----	                   ----	             otherStmts	                     no	             otherStmts	                     30
                   ----	                   ----	                   ----	                   ----	             otherStmts	                     no	             otherStmts	                     30
                   ----	                   ----	                   ----	                   ----	             otherStmts	                     no	             otherStmts	                     30
                   ----	                   ----	                   ----	                   ----	             otherStmts	                     no	             otherStmts	                     30
                   ----	                   ----	                   ----	                   ----	             otherStmts	                     no	             otherStmts	                     30
                   ----	                   ----	                   ----	                   ----	             otherStmts	                     no	             otherStmts	                     30
                   ----	                   ----	                   ----	                   ----	             otherStmts	                     no	             otherStmts	                     30
                   ----	                   ----	                   ----	                   ----	             otherStmts	                     no	             otherStmts	                     30
                   ----	                   ----	                   ----	                   ----	                  stmts	                     no	             otherStmts	                     30
                 return	                     51	              TK_RETURN	                   ----	             returnStmt	                    yes	                   ----	                      0
                    eps	                      0	                    eps	                   ----	         optionalReturn	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	             returnStmt	                     no	         optionalReturn	                     91
                      ;	                     51	                 TK_SEM	                   ----	             returnStmt	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                  stmts	                     no	             returnStmt	                     89
                   ----	                   ----	                   ----	                   ----	           mainFunction	                     no	                  stmts	                     17
                    end	                     52	                 TK_END	                   ----	           mainFunction	                    yes	                   ----	                      0
                   ----	                   ----	                   ----	                   ----	                program	                     no	           mainFunction	                      2
                   ----	                   ----	                   ----	                   ----	                   ROOT	                     no	                program	                      1
